TF,Total genes regulados,Total genes activados,Total genes reprimidos,Total genes duales,Tipo de regulacion,Genes regulados
RyhB,45,2,43,0,Dual,"['bfr', 'cirA', 'cysE', 'fumA', 'fur', 'hemB', 'hemH', 'nirB', 'sdhA', 'sdhB', 'sdhC', 'sdhD', 'sodA', 'sodB', 'sucA', 'sucB', 'sucC', 'sucD', 'marA', 'yieP', 'nuoM', 'nuoF', 'nuoA', 'nuoB', 'nuoC', 'nuoE', 'nuoG', 'nuoH', 'nuoI', 'nuoJ', 'nuoK', 'nuoL', 'nuoN', 'iscA', 'grxD', 'acnB', 'erpA', 'msrB', 'uof', 'sdhX', 'b0725', 'shiA', 'iscU', 'iscS', 'iscR']"
GlmZ,2,2,0,0,Activator,"['glmS', 'glmU']"
MicC,1,0,1,0,Repressor,['ompC']
acetyl-CoA carboxyltransferase,2,0,2,0,Repressor,"['accD', 'accA']"
ribonuclease E,1,0,1,0,Repressor,['rne']
carbon storage regulator CsrA,14,0,14,0,Repressor,"['glgA', 'glgC', 'glgP', 'sdiA', 'nhaR', 'acnA', 'glgS', 'evgA', 'dgcZ', 'pgaD', 'pgaC', 'pgaB', 'pgaA', 'dgcT']"
SelB-L-selenocysteinyl-tRNA<sup>sec</sup>,2,0,2,0,Repressor,"['selA', 'selB']"
small heat shock protein IbpA,2,0,2,0,Repressor,"['ibpA', 'ibpB']"
S6:S18 ribosomal subunit complex,4,0,4,0,Repressor,"['priB', 'rplI', 'rpsF', 'rpsR']"
ATP-dependent RNA helicase DeaD,3,3,0,0,Activator,"['sdiA', 'uvrY', 'mntR']"
threonine&mdash;tRNA ligase,1,0,1,0,Repressor,['thrS']
YafC,1,1,0,0,Activator,['cysJ']
NemR,3,0,3,0,Repressor,"['nemR', 'nemA', 'gloA']"
PhoP,60,46,11,3,Dual,"['argD', 'cysB', 'fadL', 'glgA', 'glgB', 'glgC', 'glgP', 'glgX', 'hemL', 'metB', 'metL', 'nagA', 'ompT', 'phoP', 'phoQ', 'purD', 'purH', 'tolC', 'ygiB', 'ygiC', 'rstB', 'malS', 'hdeA', 'hdeB', 'yhiD', 'hdeD', 'gadE', 'acrA', 'acrB', 'rsd', 'pagP', 'treR', 'gadW', 'mgtA', 'rmf', 'ryjB', 'mgrR', 'mgtL', 'gadF', 'mgtS', 'borD', 'ybjG', 'clpS', 'rutG', 'rutF', 'rutE', 'rutD', 'rutC', 'rutB', 'rutA', 'iraM', 'ydeO', 'safA', 'ydeP', 'rstA', 'slyB', 'mgrB', 'queE', 'yrbL', 'dcuD']"
NhaR,42,20,17,5,Dual,"['nhaA', 'osmC', 'nhaR', 'rsd', 'alaT', 'alaU', 'alaV', 'gltT', 'gltU', 'gltV', 'gltW', 'ileT', 'ileU', 'ileV', 'rrfA', 'rrfB', 'rrfC', 'rrfD', 'rrfE', 'rrfG', 'rrfH', 'rrlA', 'rrlB', 'rrlC', 'rrlD', 'rrlE', 'rrlG', 'rrlH', 'rrsA', 'rrsB', 'rrsC', 'rrsD', 'rrsE', 'rrsG', 'rrsH', 'rrfF', 'thrV', 'rmf', 'pgaD', 'pgaC', 'pgaB', 'pgaA']"
NsrR,86,2,84,0,Dual,"['aceE', 'aceF', 'cdd', 'moeA', 'moeB', 'fhlA', 'ihfA', 'hmp', 'hycA', 'hycB', 'hycC', 'hycD', 'hycE', 'hycF', 'hycG', 'hycH', 'hypA', 'hypB', 'hypC', 'hypD', 'hypE', 'infC', 'lrp', 'ndh', 'pheS', 'pheT', 'poxB', 'wecA', 'rplT', 'bamE', 'sodB', 'thrS', 'rpmI', 'tsgA', 'waaH', 'pheM', 'ygbA', 'wzzE', 'ydbD', 'fliA', 'fliZ', 'pgpC', 'tadA', 'sufA', 'wecB', 'wecC', 'rffG', 'rffH', 'rffC', 'wecE', 'wzyE', 'rffM', 'wzxE', 'dkgB', 'nrfA', 'tehA', 'tehB', 'nrfB', 'nrfC', 'nrfD', 'nrfE', 'nrfF', 'nrfG', 'norR', 'grxD', 'dsdC', 'rybB', 'mhpT', 'hcr', 'hcp', 'feaR', 'mepH', 'sufE', 'sufS', 'sufD', 'sufC', 'sufB', 'yeaE', 'yoaG', 'yeaR', 'tcyJ', 'hycI', 'wecF', 'ytfE', 'bdcA', 'feaB']"
TorR,21,18,1,2,Dual,"['rpoS', 'tnaA', 'tnaB', 'tnaC', 'hdeA', 'hdeB', 'yhiD', 'gadB', 'adiA', 'gadE', 'torA', 'torC', 'slp', 'torD', 'mdtE', 'mdtF', 'gadX', 'adiC', 'torR', 'gadA', 'gadC']"
FabR,2,0,2,0,Repressor,"['fabA', 'fabB']"
ComR,1,0,1,0,Repressor,['bhsA']
ArgR,64,13,51,0,Dual,"['hisM', 'argA', 'argB', 'argC', 'argD', 'argF', 'argG', 'argI', 'argR', 'aroK', 'aroP', 'carA', 'carB', 'cvpA', 'dacC', 'ftsZ', 'gltB', 'gltD', 'gltP', 'hisP', 'infB', 'waaA', 'lrp', 'nusA', 'pfkB', 'pnp', 'rpsO', 'yffB', 'truB', 'rbfA', 'rimP', 'argH', 'mukE', 'hisL', 'pyrL', 'argE', 'dps', 'gltF', 'stpA', 'yaaU', 'artP', 'artI', 'artQ', 'artM', 'artJ', 'potF', 'puuB', 'hisJ', 'hisQ', 'metY', 'mcaS', 'ykgA', 'lysO', 'ydgI', 'astE', 'astB', 'astD', 'astA', 'astC', 'hchA', 'yfcC', 'eutS', 'yraQ', 'yhcC']"
IlvY,2,1,1,0,Dual,"['ilvC', 'ilvY']"
RcnR,3,0,3,0,Repressor,"['rcnR', 'rcnA', 'rcnB']"
CytR,14,0,14,0,Repressor,"['cdd', 'cytR', 'deoA', 'deoB', 'deoC', 'deoD', 'nupG', 'ppiA', 'rpoH', 'tsx', 'udp', 'aphA', 'nupC', 'ycdZ']"
MlrA,10,10,0,0,Activator,"['cadC', 'yhbE', 'rplU', 'rpmA', 'csgG', 'csgF', 'csgE', 'csgD', 'obgE', 'ibaG']"
PrpR,5,4,1,0,Dual,"['prpR', 'prpB', 'prpC', 'prpD', 'prpE']"
MatA,9,2,7,0,Dual,"['flhC', 'flhD', 'fliC', 'fliA', 'fliZ', 'fliX', 'ecpA', 'matA', 'tcyJ']"
AlaS,1,0,1,0,Repressor,['alaS']
ArgP,15,14,1,0,Dual,"['asd', 'dapB', 'dapD', 'dnaA', 'dnaN', 'gdhA', 'argP', 'lysA', 'lysC', 'nrdA', 'nrdB', 'recF', 'argO', 'lysP', 'yfaE']"
GlcC,7,6,1,0,Dual,"['glcB', 'glcF', 'glcA', 'glcG', 'glcE', 'glcD', 'glcC']"
PuuR,8,0,8,0,Repressor,"['puuC', 'puuB', 'puuR', 'ymjE', 'puuP', 'puuA', 'puuD', 'puuE']"
YiaU,6,6,0,0,Activator,"['gltD', 'waaP', 'adeP', 'yiaT', 'yiaV', 'yiaW']"
FeaR,2,2,0,0,Activator,"['tynA', 'feaB']"
NtrC,52,44,1,7,Dual,"['hisM', 'argT', 'glnA', 'glnG', 'glnH', 'glnL', 'glnP', 'glnQ', 'hisP', 'relA', 'potF', 'potG', 'potH', 'potI', 'amtB', 'rpoE', 'hisJ', 'hisQ', 'glnK', 'rseA', 'yhdW', 'yhdX', 'yhdY', 'yhdZ', 'rseD', 'glnZ', 'rutG', 'rutF', 'rutE', 'rutD', 'rutC', 'rutB', 'rutA', 'ddpF', 'ddpD', 'ddpC', 'ddpB', 'ddpA', 'ddpX', 'astE', 'astB', 'astD', 'astA', 'astC', 'yeaE', 'yeaG', 'yeaH', 'cbl', 'nac', 'rseC', 'rseB', 'patA']"
Mlc,10,0,10,0,Repressor,"['crr', 'malT', 'manX', 'manY', 'manZ', 'ptsG', 'ptsH', 'ptsI', 'bidA', 'mlc']"
SrsR,38,38,0,0,Activator,"['adhE', 'fucA', 'fucI', 'fucK', 'fucO', 'fucP', 'fucR', 'fucU', 'hycB', 'narZ', 'pflB', 'dhaM', 'yafQ', 'dinJ', 'yafL', 'bluR', 'dhaL', 'dhaK', 'paaZ', 'paaA', 'paaB', 'paaC', 'paaD', 'paaE', 'paaF', 'paaG', 'paaH', 'paaI', 'paaJ', 'paaK', 'cdgI', 'yfdK', 'yfdL', 'yfdM', 'yfdN', 'yfdO', 'yfdP', 'yfdQ']"
YeiL,1,1,0,0,Activator,['yeiL']
MprA,6,0,6,0,Repressor,"['mprA', 'nmpC', 'emrA', 'emrB', 'acrA', 'acrB']"
FrmR,3,0,3,0,Repressor,"['frmA', 'frmB', 'frmR']"
TdcA,7,7,0,0,Activator,"['tdcA', 'tdcB', 'tdcC', 'tdcD', 'tdcG', 'tdcF', 'tdcE']"
EvgA,21,21,0,0,Activator,"['acrD', 'gadE', 'evgA', 'evgS', 'mdtE', 'mdtF', 'emrY', 'gadF', 'evgL', 'ydeO', 'safA', 'ydeP', 'yegZ', 'G7121', 'yegR', 'emrK', 'yfdE', 'yfdV', 'oxc', 'frc', 'yfdX']"
TyrR,12,2,9,1,Dual,"['aroF', 'aroG', 'aroL', 'aroM', 'aroP', 'folA', 'mtr', 'tyrA', 'tyrB', 'tyrP', 'tyrR', 'yaiA']"
CaiF,10,10,0,0,Activator,"['caiD', 'caiC', 'caiB', 'caiA', 'caiT', 'fixA', 'fixB', 'fixC', 'fixX', 'caiE']"
GadW,15,4,4,7,Dual,"['hdeA', 'hdeB', 'yhiD', 'gadB', 'gadE', 'dctR', 'slp', 'mdtE', 'mdtF', 'gadW', 'gadX', 'gadA', 'gadF', 'gadY', 'gadC']"
IdnR,7,5,2,0,Dual,"['idnK', 'idnT', 'gntK', 'gntU', 'idnR', 'idnO', 'idnD']"
RhaS,6,6,0,0,Activator,"['rhaR', 'rhaS', 'rhaT', 'rhaD', 'rhaA', 'rhaB']"
UvrY,6,6,0,0,Activator,"['uhpT', 'luxS', 'uhpU', 'csrB', 'csrC', 'ydeP']"
DinJ-YafQ,3,0,3,0,Repressor,"['cspE', 'yafQ', 'dinJ']"
HcaR,7,5,2,0,Dual,"['iroK', 'hcaR', 'hcaC', 'hcaB', 'hcaD', 'hcaE', 'hcaF']"
CysB,33,26,7,0,Dual,"['cysA', 'cysB', 'cysC', 'cysD', 'cysH', 'cysI', 'cysJ', 'cysK', 'cysM', 'cysN', 'cysP', 'cysU', 'cysW', 'dgcZ', 'ssuB', 'tauD', 'tauA', 'tauB', 'tauC', 'ybdN', 'ssuC', 'ssuD', 'ssuA', 'ssuE', 'ariR', 'yciW', 'hslJ', 'tcyP', 'yoaC', 'tcyJ', 'cbl', 'yfbR', 'ygeH']"
NfeR,2,0,2,0,Repressor,"['nfeF', 'nfeR']"
CspA,2,2,0,0,Activator,"['gyrA', 'hns']"
MazE,3,0,3,0,Repressor,"['mazE', 'mazG', 'mazF']"
PspF,8,7,1,0,Dual,"['pspA', 'pspB', 'pspC', 'pspD', 'pspE', 'pspG', 'pspF', 'pspH']"
CpxR,130,77,53,0,Dual,"['acrD', 'cpxR', 'aroG', 'ascF', 'atpB', 'atpI', 'carA', 'carB', 'cheA', 'cheW', 'cpxA', 'cspA', 'dgt', 'edd', 'exbB', 'fimB', 'lpxD', 'hha', 'skp', 'degP', 'lpxA', 'metC', 'motA', 'motB', 'ompC', 'ompF', 'pflB', 'plsB', 'ppiA', 'psd', 'rpoH', 'sbmA', 'sdhC', 'slt', 'bamE', 'tsr', 'ung', 'dsbC', 'xylE', 'mtn', 'yccA', 'fdnG', 'ldtD', 'focA', 'fabZ', 'dsbA', 'appC', 'inaA', 'marA', 'marR', 'acs', 'csgA', 'yhdJ', 'marB', 'baeS', 'baeR', 'eamA', 'ydeE', 'dgcZ', 'bacA', 'yidQ', 'chaA', 'yebE', 'srkA', 'rpoE', 'nuoA', 'mdtD', 'galP', 'yibN', 'gpmM', 'yacH', 'rseA', 'ettA', 'chaB', 'tomB', 'yddG', 'yhdW', 'ampH', 'yfaH', 'shoB', 'cpxQ', 'rseD', 'motR', 'rprA', 'cyaR', 'fadE', 'gmhA', 'matA', 'frmB', 'yaiW', 'ppiD', 'pdeB', 'glsA', 'qmcA', 'dsbG', 'hcp', 'efeU', 'csgG', 'csgF', 'csgE', 'csgD', 'csgB', 'csgC', 'ldtC', 'feaR', 'yncE', 'gstA', 'spy', 'astC', 'ftnB', 'cbl', 'mdtA', 'mdtB', 'mdtC', 'fadI', 'frc', 'rseC', 'rseB', 'kbp', 'yqaE', 'casA', 'ygjR', 'yqjA', 'mzrA', 'cpxP', 'epmB', 'mscM', 'yjfN', 'btsT', 'gapC']"
NarP,51,18,18,15,Dual,"['cysG', 'fdhF', 'hyaA', 'hyaB', 'hyaC', 'hyaD', 'hyaE', 'hyaF', 'nirB', 'nirC', 'nirD', 'poxB', 'fdnG', 'fdnH', 'fdnI', 'nrfA', 'nrfB', 'nrfC', 'nrfD', 'nrfE', 'nrfF', 'nrfG', 'ccmH', 'ccmG', 'ccmF', 'ccmE', 'ccmC', 'ccmB', 'ccmA', 'napC', 'napB', 'napH', 'napG', 'napA', 'napF', 'napD', 'ccmD', 'norW', 'hcr', 'hcp', 'ydeP', 'ydhT', 'ydhU', 'ydhX', 'ydhW', 'ydhV', 'ydhY', 'yoaG', 'yeaR', 'norV', 'ytfE']"
MetJ,15,0,15,0,Repressor,"['metA', 'metB', 'metC', 'metE', 'metF', 'metK', 'metL', 'metR', 'yeiB', 'folE', 'ahpC', 'ahpF', 'metQ', 'metN', 'metI']"
YdaT,1,1,0,0,Activator,['rcsA']
ZraR,28,25,3,0,Dual,"['zraS', 'cspA', 'acrE', 'fhuA', 'glnA', 'glnH', 'zraR', 'pnp', 'rfaD', 'rpoH', 'sspA', 'tnaA', 'tnaB', 'raiA', 'fliA', 'mdtL', 'zraP', 'cspB', 'gadW', 'mgtA', 'exuR', 'yhdW', 'ssrA', 'rmf', 'yrdD', 'yhhY', 'cpxP', 'yjjY']"
AdiY,8,8,0,0,Activator,"['gltB', 'gltD', 'gadB', 'adiA', 'gltF', 'gadX', 'gadA', 'gadC']"
PdeL,9,2,7,0,Dual,"['wecA', 'pdeL', 'fliF', 'fliG', 'fliH', 'fliI', 'fliJ', 'fliK', 'yghJ']"
